imageX,imageY,realX,realY
421.0,186.0,5500,5500
414.0,177.0,5500,6000
408.0,170.0,5500,6500
637.0,409.0,6000,1000
604.0,357.0,6000,1500
565.0,316.0,6000,2000
535.0,284.0,6000,2500
511.0,259.0,6000,3000
492.0,239.0,6000,3500
477.0,222.0,6000,4000
463.0,208.0,6000,4500
452.0,196.0,6000,5000
443.0,186.0,6000,5500
434.0,177.0,6000,6000
427.0,170.0,6000,6500
637.0,354.0,6500,1500
607.0,315.0,6500,2000
572.0,284.0,6500,2500
545.0,259.0,6500,3000
523.0,239.0,6500,3500
504.0,222.0,6500,4000
489.0,208.0,6500,4500
476.0,196.0,6500,5000
465.0,186.0,6500,5500
455.0,177.0,6500,6000
447.0,170.0,6500,6500
637.0,313.0,7000,2000
610.0,283.0,7000,2500
579.0,258.0,7000,3000
553.0,238.0,7000,3500
532.0,222.0,7000,4000
515.0,208.0,7000,4500
500.0,196.0,7000,5000
487.0,186.0,7000,5500
476.0,177.0,7000,6000
466.0,169.0,7000,6500
637.0,282.0,7500,2500
612.0,258.0,7500,3000
584.0,238.0,7500,3500
560.0,222.0,7500,4000
540.0,208.0,7500,4500
524.0,196.0,7500,5000
509.0,186.0,7500,5500
496.0,177.0,7500,6000
485.0,169.0,7500,6500
